id,name,label,homepage,stories_per_week,primary_language,name_clean
314,huffingtonpost.com,The Huffington Post (broken),http://www.huffingtonpost.com/,1399,en,hp
27510,ibabuzz.com,The HayWord -,http://www.ibabuzz.com/hayword/,-1,en,ibabuzz
28248,pressrepublican.com,Press-Republican,http://pressrepublican.com/,-1,,pressrepublican
27063,pewstates.org,pewstates.org,http://www.pewstates.org,111,,pewstates
29827,rttnews.com,rttnews,http://www.rttnews.com#spider,452,en,rttnews
31137,therealnews.com,TheRealNews.com,http://therealnews.com#spider,15,en,therealnews
370876,barrons.com,buy.barrons.com,http://buy.barrons.com/,0,,barrons
33514,parade.com,Parade,http://www.parade.com#spider,-1,en,parade
196181,ncronline.org,openx.ncronline.org,http://openx.ncronline.org/,52,,ncronline
34663,breakingnews.com,NBC Breaking News,http://www.breakingnews.com#spider,-1,,breakingnews
19562,marketwatch.com,Market Watch,http://www.marketwatch.com,0,en,marketwatch
20263,scientificamerican.com,scientificamerican.com,http://www.scientificamerican.com,286,,scientificamerican
38987,monstersandcritics.com,monstersandcritics,http://www.monstersandcritics.com/,279,en,monstersandcritics
19260,abcnews.go.com,abcnews.go.com,http://abcnews.go.com,1017,,abc
18747,zdnet.com,zdnet.com,http://www.zdnet.com,142,,zdnet
39573,staradvertiser.com,HonululuAdvertiser,http://www.staradvertiser.com/,500,en,staradvertiser
18410,wired.com,wired.com,http://www.wired.com,86,,wired
18482,bloomberg.com,bloomberg.com,http://www.bloomberg.com,357,,bloomberg
4420,engadget.com,Engadget,http://engadget.com,311,en,engadget
20273,ibtimes.com,ibtimes.com,http://www.ibtimes.com,931,,ibtimes
48639,sentinelsource.com,sentinelsource.com,http://www.sentinelsource.com/#spider,-1,en,sentinelsource
367274,theconversation.com,theconversation.com,http://theconversation.com/,394,,theconversation
25933,syracuse.com,syracuse.com,http://www.syracuse.com,547,,syracuse
4467,tmz.com,TMZ.com,http://www.tmz.com,124,en,tmz
1140,alternet.org,AlterNet,http://www.alternet.org/,221,en,alternet
57166,univision.com,univision.com,http://univision.com/,-1,es,univision
226,newsblaze.com,News Blaze,http://newsblaze.com,8,en,newsblaze
62552,elnuevodia.com,El Nuevo Dia,http://elnuevodia.com/,24,,elnuevodia
1490,mlive.com,MLive.com,http://www.mlive.com,959,en,mlive
367245,qz.com,qz.com,http://qz.com/,100,,qz
690347,ign.com,s.ign.com,http://s.ign.com/,755,,ign
860476,sbnation.com,s.sbnation.com,http://s.sbnation.com/,74,,sbnation
67771,airforcetimes.com,AirforceTimes,http://www.airforcetimes.com/#spider,111,en,airforcetimes
1793073,uproxx.com,x.uproxx.com,http://x.uproxx.com/,450,,uproxx
1743487,providencejournal.com,amp.providencejournal.com,http://amp.providencejournal.com/,-1,,providencejournal
159383,fansided.com,fansided.com,http://fansided.com/,436,,fansided
136666,americanfreepress.net,shop.americanfreepress.net,http://shop.americanfreepress.net/,3,,americanfreepress
151583,polygon.com,live.polygon.com,http://live.polygon.com/,133,,polygon
386565,elitedaily.com,cdn29.elitedaily.com,http://cdn29.elitedaily.com/,63,,elitedaily
70420,armytimes.com,ArmyTimes,http://www.armytimes.com/#spider,93,en,armytimes
70638,navytimes.com,NavyTimes,http://www.navytimes.com/#spider,105,en,navytimes
1855715,fayobserver.com,amp.fayobserver.com,http://amp.fayobserver.com/,-1,,fayobserver
72605,ew.com,Entertainment Weekly,http://www.ew.com,-1,en,ew
74242,norwichbulletin.com,norwichbulletin.com,http://www.norwichbulletin.com/#spider,-1,en,norwichbulletin
18733,oregonlive.com,oregonlive.com,http://www.oregonlive.com,789,,oregonlive
22529,philly.com,philly.com,http://www.philly.com,-1,,philly
77578,nhgazette.com,nhgazette.com,http://www.nhgazette.com/#spider,9,en,nhgazette
79209,pilotonline.com,pilotonline.com,http://pilotonline.com/#spider,459,en,pilotonline
